tau_drug,tau_kraken,accuracy,macro_f1,kraken_sens,kraken_spec,none_sens,none_spec,triton_sens,triton_spec,coral_sens,coral_spec
0.07,0.73,0.26436781609195403,0.24389940296710066,0.25862068965517243,0.8275862068965517,0.0,1.0,0.5294117647058824,0.6619047619047619,0.5625,0.596244131455399
0.07,0.75,0.25287356321839083,0.2299734738651315,0.20689655172413793,0.8374384236453202,0.0,1.0,0.5294117647058824,0.6523809523809524,0.5625,0.5821596244131455
0.07,0.77,0.2413793103448276,0.2148956356736243,0.15517241379310345,0.8719211822660099,0.0,1.0,0.5294117647058824,0.6333333333333333,0.5625,0.5539906103286385
0.07,0.79,0.2260536398467433,0.1912149430324277,0.08620689655172414,0.916256157635468,0.0,1.0,0.5294117647058824,0.5952380952380952,0.5625,0.5305164319248826
0.07,0.81,0.2260536398467433,0.19114455438153055,0.08620689655172414,0.9261083743842364,0.0,1.0,0.5294117647058824,0.5952380952380952,0.5625,0.5211267605633803
0.07,0.83,0.2222222222222222,0.18434410019775874,0.06896551724137931,0.9408866995073891,0.0,1.0,0.5294117647058824,0.5904761904761905,0.5625,0.5070422535211268
0.07,0.85,0.21839080459770116,0.1765917905623788,0.05172413793103448,0.9655172413793104,0.0,1.0,0.5294117647058824,0.5714285714285714,0.5625,0.49765258215962443
0.07,0.87,0.21839080459770116,0.1713475063938619,0.034482758620689655,0.9802955665024631,0.0,1.0,0.5490196078431373,0.5666666666666667,0.5625,0.48826291079812206
0.07,0.89,0.21839080459770116,0.17097335026027727,0.034482758620689655,0.9901477832512315,0.0,1.0,0.5490196078431373,0.5619047619047619,0.5625,0.4835680751173709
0.07,0.91,0.21455938697318008,0.1625650431216577,0.017241379310344827,0.9901477832512315,0.0,1.0,0.5490196078431373,0.5571428571428572,0.5625,0.4835680751173709
0.07,0.93,0.21455938697318008,0.1622311617976358,0.017241379310344827,0.9950738916256158,0.0,1.0,0.5490196078431373,0.5523809523809524,0.5625,0.4835680751173709
0.07,0.95,0.210727969348659,0.15311736886031344,0.0,1.0,0.0,1.0,0.5490196078431373,0.5523809523809524,0.5625,0.47417840375586856
0.09,0.05,0.21839080459770116,0.08990536277602523,0.9827586206896551,0.0049261083743842365,0.0,1.0,0.0,1.0,0.0,0.9906103286384976
0.09,0.07,0.21839080459770116,0.09018987341772151,0.9827586206896551,0.009852216748768473,0.0,1.0,0.0,0.9952380952380953,0.0,0.9906103286384976
0.09,0.09,0.21455938697318008,0.08945686900958466,0.9655172413793104,0.019704433497536946,0.0,1.0,0.0,0.9857142857142858,0.0,0.9859154929577465
0.09,0.11,0.21839080459770116,0.099386816555953,0.9655172413793104,0.03940886699507389,0.0,1.0,0.0196078431372549,0.9761904761904762,0.0,0.9812206572769953
0.09,0.13,0.21455938697318008,0.11333646984553176,0.9137931034482759,0.054187192118226604,0.0,1.0,0.0392156862745098,0.9714285714285714,0.020833333333333332,0.9671361502347418
0.09,0.15,0.21839080459770116,0.12169542709232097,0.9137931034482759,0.06896551724137931,0.0,1.0,0.058823529411764705,0.9666666666666667,0.020833333333333332,0.9624413145539906
0.09,0.17,0.22988505747126436,0.14557189113503105,0.9137931034482759,0.10344827586206896,0.0,1.0,0.09803921568627451,0.9571428571428572,0.041666666666666664,0.9530516431924883
0.09,0.19,0.23371647509578544,0.15297214315833862,0.9137931034482759,0.12807881773399016,0.0,1.0,0.09803921568627451,0.9428571428571428,0.0625,0.9483568075117371
0.09,0.21,0.24904214559386972,0.18605895254908256,0.896551724137931,0.16748768472906403,0.0,1.0,0.1568627450980392,0.9380952380952381,0.10416666666666667,0.9342723004694836
0.09,0.23,0.26053639846743293,0.20923896499238964,0.8793103448275862,0.20689655172413793,0.0,1.0,0.17647058823529413,0.9285714285714286,0.16666666666666666,0.92018779342723
0.09,0.25,0.26053639846743293,0.2173780487804878,0.8275862068965517,0.26108374384236455,0.0,1.0,0.21568627450980393,0.9142857142857143,0.1875,0.8826291079812206
0.09,0.27,0.26436781609195403,0.22502665910380035,0.8103448275862069,0.2857142857142857,0.0,1.0,0.21568627450980393,0.9047619047619048,0.22916666666666666,0.8732394366197183
0.09,0.29,0.2720306513409962,0.23400988810824877,0.8103448275862069,0.31527093596059114,0.0,1.0,0.21568627450980393,0.8952380952380953,0.2708333333333333,0.863849765258216
0.09,0.31,0.2796934865900383,0.24798634951565263,0.7758620689655172,0.3497536945812808,0.0,1.0,0.23529411764705882,0.8904761904761904,0.3333333333333333,0.8450704225352113
0.09,0.33,0.28735632183908044,0.2633172114253502,0.7413793103448276,0.3694581280788177,0.0,1.0,0.3137254901960784,0.8809523809523809,0.3333333333333333,0.8450704225352113
0.09,0.35,0.2950191570881226,0.27153840816109265,0.7413793103448276,0.39408866995073893,0.0,1.0,0.3333333333333333,0.8809523809523809,0.3541666666666667,0.8309859154929577
0.09,0.37,0.30268199233716475,0.2820896431270189,0.7241379310344828,0.41379310344827586,0.0,1.0,0.39215686274509803,0.8714285714285714,0.3541666666666667,0.8309859154929577
0.09,0.39,0.3065134099616858,0.28561096400902225,0.7241379310344828,0.42857142857142855,0.0,1.0,0.39215686274509803,0.8666666666666667,0.375,0.8262910798122066
0.09,0.41,0.2988505747126437,0.2799964054636952,0.6896551724137931,0.42857142857142855,0.0,1.0,0.39215686274509803,0.861904761904762,0.375,0.8215962441314554
0.09,0.43,0.3065134099616858,0.2876171389068731,0.6896551724137931,0.45320197044334976,0.0,1.0,0.4117647058823529,0.861904761904762,0.3958333333333333,0.8075117370892019
0.09,0.45,0.31417624521072796,0.29526618302370133,0.6896551724137931,0.4729064039408867,0.0,1.0,0.43137254901960786,0.8571428571428571,0.4166666666666667,0.8028169014084507
0.09,0.47,0.31800766283524906,0.2985914579059541,0.6724137931034483,0.5073891625615764,0.0,1.0,0.47058823529411764,0.8428571428571429,0.4166666666666667,0.7887323943661971
0.09,0.49,0.31417624521072796,0.29320555134072035,0.6551724137931034,0.5467980295566502,0.0,1.0,0.47058823529411764,0.8285714285714286,0.4166666666666667,0.7605633802816901
0.09,0.51,0.3218390804597701,0.3019429397668425,0.6379310344827587,0.5665024630541872,0.0,1.0,0.47058823529411764,0.8285714285714286,0.4791666666666667,0.7511737089201878
0.09,0.53,0.31417624521072796,0.2956040669856459,0.5862068965517241,0.5862068965517241,0.0,1.0,0.47058823529411764,0.8142857142857143,0.5,0.7370892018779343
0.09,0.55,0.31417624521072796,0.29406206982855715,0.5689655172413793,0.6354679802955665,0.0,1.0,0.49019607843137253,0.780952380952381,0.5,0.7230046948356808
0.09,0.57,0.2988505747126437,0.2806268816695827,0.5,0.645320197044335,0.0,1.0,0.49019607843137253,0.7619047619047619,0.5,0.7136150234741784
0.09,0.59,0.2950191570881226,0.2767857142857143,0.46551724137931033,0.6699507389162561,0.0,1.0,0.5098039215686274,0.7333333333333333,0.5,0.7136150234741784
0.09,0.61,0.28735632183908044,0.2692873073803731,0.43103448275862066,0.6995073891625616,0.0,1.0,0.5098039215686274,0.7142857142857143,0.5,0.6948356807511737
0.09,0.63,0.29118773946360155,0.27280950447782387,0.43103448275862066,0.7142857142857143,0.0,1.0,0.5294117647058824,0.7142857142857143,0.5,0.6854460093896714
0.09,0.65,0.29118773946360155,0.2727313061669074,0.41379310344827586,0.7241379310344828,0.0,1.0,0.5294117647058824,0.7095238095238096,0.5208333333333334,0.6807511737089202
0.09,0.67,0.29118773946360155,0.27248862404237545,0.39655172413793105,0.7438423645320197,0.0,1.0,0.5294117647058824,0.7,0.5416666666666666,0.6713615023474179
0.09,0.69,0.28735632183908044,0.26867157031139494,0.3620689655172414,0.7832512315270936,0.0,1.0,0.5294117647058824,0.6952380952380952,0.5625,0.6338028169014085
0.09,0.71,0.2835249042145594,0.2652111115148432,0.3448275862068966,0.812807881773399,0.0,1.0,0.5294117647058824,0.6761904761904762,0.5625,0.6197183098591549
0.09,0.73,0.26436781609195403,0.24389940296710066,0.25862068965517243,0.8275862068965517,0.0,1.0,0.5294117647058824,0.6619047619047619,0.5625,0.596244131455399
0.09,0.75,0.25287356321839083,0.2299734738651315,0.20689655172413793,0.8374384236453202,0.0,1.0,0.5294117647058824,0.6523809523809524,0.5625,0.5821596244131455
0.09,0.77,0.2413793103448276,0.2148956356736243,0.15517241379310345,0.8719211822660099,0.0,1.0,0.5294117647058824,0.6333333333333333,0.5625,0.5539906103286385
0.09,0.79,0.2260536398467433,0.1912149430324277,0.08620689655172414,0.916256157635468,0.0,1.0,0.5294117647058824,0.5952380952380952,0.5625,0.5305164319248826
0.09,0.81,0.2260536398467433,0.19114455438153055,0.08620689655172414,0.9261083743842364,0.0,1.0,0.5294117647058824,0.5952380952380952,0.5625,0.5211267605633803
0.09,0.83,0.2222222222222222,0.18434410019775874,0.06896551724137931,0.9408866995073891,0.0,1.0,0.5294117647058824,0.5904761904761905,0.5625,0.5070422535211268
0.09,0.85,0.21839080459770116,0.1765917905623788,0.05172413793103448,0.9655172413793104,0.0,1.0,0.5294117647058824,0.5714285714285714,0.5625,0.49765258215962443
0.09,0.87,0.21839080459770116,0.1713475063938619,0.034482758620689655,0.9802955665024631,0.0,1.0,0.5490196078431373,0.5666666666666667,0.5625,0.48826291079812206
0.09,0.89,0.21839080459770116,0.17097335026027727,0.034482758620689655,0.9901477832512315,0.0,1.0,0.5490196078431373,0.5619047619047619,0.5625,0.4835680751173709
0.09,0.91,0.21455938697318008,0.1625650431216577,0.017241379310344827,0.9901477832512315,0.0,1.0,0.5490196078431373,0.5571428571428572,0.5625,0.4835680751173709
0.09,0.93,0.21455938697318008,0.1622311617976358,0.017241379310344827,0.9950738916256158,0.0,1.0,0.5490196078431373,0.5523809523809524,0.5625,0.4835680751173709
0.09,0.95,0.210727969348659,0.15311736886031344,0.0,1.0,0.0,1.0,0.5490196078431373,0.5523809523809524,0.5625,0.47417840375586856
0.11,0.05,0.21839080459770116,0.08990536277602523,0.9827586206896551,0.0049261083743842365,0.0,1.0,0.0,1.0,0.0,0.9906103286384976
0.11,0.07,0.21839080459770116,0.09018987341772151,0.9827586206896551,0.009852216748768473,0.0,1.0,0.0,0.9952380952380953,0.0,0.9906103286384976
0.11,0.09,0.21455938697318008,0.08945686900958466,0.9655172413793104,0.019704433497536946,0.0,1.0,0.0,0.9857142857142858,0.0,0.9859154929577465
0.11,0.11,0.21839080459770116,0.099386816555953,0.9655172413793104,0.03940886699507389,0.0,1.0,0.0196078431372549,0.9761904761904762,0.0,0.9812206572769953
0.11,0.13,0.21455938697318008,0.11333646984553176,0.9137931034482759,0.054187192118226604,0.0,1.0,0.0392156862745098,0.9714285714285714,0.020833333333333332,0.9671361502347418
0.11,0.15,0.21839080459770116,0.12169542709232097,0.9137931034482759,0.06896551724137931,0.0,1.0,0.058823529411764705,0.9666666666666667,0.020833333333333332,0.9624413145539906
0.11,0.17,0.22988505747126436,0.14557189113503105,0.9137931034482759,0.10344827586206896,0.0,1.0,0.09803921568627451,0.9571428571428572,0.041666666666666664,0.9530516431924883
0.11,0.19,0.23371647509578544,0.15297214315833862,0.9137931034482759,0.12807881773399016,0.0,1.0,0.09803921568627451,0.9428571428571428,0.0625,0.9483568075117371
0.11,0.21,0.24904214559386972,0.18605895254908256,0.896551724137931,0.16748768472906403,0.0,1.0,0.1568627450980392,0.9380952380952381,0.10416666666666667,0.9342723004694836
0.11,0.23,0.26053639846743293,0.20923896499238964,0.8793103448275862,0.20689655172413793,0.0,1.0,0.17647058823529413,0.9285714285714286,0.16666666666666666,0.92018779342723
0.11,0.25,0.26053639846743293,0.2173780487804878,0.8275862068965517,0.26108374384236455,0.0,1.0,0.21568627450980393,0.9142857142857143,0.1875,0.8826291079812206
0.11,0.27,0.26436781609195403,0.22502665910380035,0.8103448275862069,0.2857142857142857,0.0,1.0,0.21568627450980393,0.9047619047619048,0.22916666666666666,0.8732394366197183
0.11,0.29,0.2720306513409962,0.23400988810824877,0.8103448275862069,0.31527093596059114,0.0,1.0,0.21568627450980393,0.8952380952380953,0.2708333333333333,0.863849765258216
0.11,0.31,0.2796934865900383,0.24798634951565263,0.7758620689655172,0.3497536945812808,0.0,1.0,0.23529411764705882,0.8904761904761904,0.3333333333333333,0.8450704225352113
0.11,0.33,0.28735632183908044,0.2633172114253502,0.7413793103448276,0.3694581280788177,0.0,1.0,0.3137254901960784,0.8809523809523809,0.3333333333333333,0.8450704225352113
0.11,0.35,0.2950191570881226,0.27153840816109265,0.7413793103448276,0.39408866995073893,0.0,1.0,0.3333333333333333,0.8809523809523809,0.3541666666666667,0.8309859154929577
0.11,0.37,0.30268199233716475,0.2820896431270189,0.7241379310344828,0.41379310344827586,0.0,1.0,0.39215686274509803,0.8714285714285714,0.3541666666666667,0.8309859154929577
0.11,0.39,0.3065134099616858,0.28561096400902225,0.7241379310344828,0.42857142857142855,0.0,1.0,0.39215686274509803,0.8666666666666667,0.375,0.8262910798122066
0.11,0.41,0.2988505747126437,0.2799964054636952,0.6896551724137931,0.42857142857142855,0.0,1.0,0.39215686274509803,0.861904761904762,0.375,0.8215962441314554
0.11,0.43,0.3065134099616858,0.2876171389068731,0.6896551724137931,0.45320197044334976,0.0,1.0,0.4117647058823529,0.861904761904762,0.3958333333333333,0.8075117370892019
0.11,0.45,0.31417624521072796,0.29526618302370133,0.6896551724137931,0.4729064039408867,0.0,1.0,0.43137254901960786,0.8571428571428571,0.4166666666666667,0.8028169014084507
0.11,0.47,0.31800766283524906,0.2985914579059541,0.6724137931034483,0.5073891625615764,0.0,1.0,0.47058823529411764,0.8428571428571429,0.4166666666666667,0.7887323943661971
0.11,0.49,0.31417624521072796,0.29320555134072035,0.6551724137931034,0.5467980295566502,0.0,1.0,0.47058823529411764,0.8285714285714286,0.4166666666666667,0.7605633802816901
0.11,0.51,0.3218390804597701,0.3019429397668425,0.6379310344827587,0.5665024630541872,0.0,1.0,0.47058823529411764,0.8285714285714286,0.4791666666666667,0.7511737089201878
